ts,avg_nb_vehicules_in_per_hour,nb_trucks_in,nb_cars_in,avg_waiting_in,avg_nb_vehicules_out_per_hour,nb_trucks_out,nb_cars_out,avg_waiting_out,avg_temperature,pressure,precipitation_MM,windspeed_Kmph
2020-01-01 17:00:00+01:00,388,46,342,18.513167788987648,388,49,339,18.513167788987648,4,1032,0.0,6
2020-01-01 18:00:00+01:00,419,57,362,14.863975805015587,413,48,365,19.953327551024692,4,1032,0.0,6
2020-01-01 19:00:00+01:00,298,39,259,21.055661887973457,280,33,247,24.45889409905205,4,1032,0.0,6
2020-01-01 20:00:00+01:00,300,34,266,17.719869170359154,289,31,258,21.030269491813637,4,1032,0.0,6
2020-01-01 21:00:00+01:00,229,26,203,20.440115346834332,207,25,182,19.46313193794564,4,1032,0.0,6
2020-01-01 22:00:00+01:00,162,18,144,16.65184232996673,154,17,137,25.102227050596255,4,1032,0.0,6
2020-01-01 23:00:00+01:00,116,15,101,18.218284224266565,102,10,92,15.767603823718561,4,1032,0.0,6
2020-01-02 00:00:00+01:00,68,5,63,14.701855472363336,81,12,69,16.076626545182606,7,1029,0.0,6
2020-01-02 01:00:00+01:00,51,4,47,7.252205043556333,51,7,44,7.252205043556333,7,1029,0.0,6
2020-01-02 02:00:00+01:00,46,3,43,9.245167395738047,53,6,47,8.976459755768028,7,1029,0.0,6
2020-01-02 03:00:00+01:00,76,6,70,16.686685835236233,76,12,64,16.686685835236233,7,1029,0.0,6
2020-01-02 04:00:00+01:00,119,10,109,22.46945513312648,128,18,110,19.601953989978306,7,1029,0.0,6
2020-01-02 05:00:00+01:00,219,16,203,21.009686825041197,234,28,206,19.754580108435302,7,1029,0.0,6
2020-01-02 06:00:00+01:00,258,21,237,21.93153719781745,277,36,241,24.920160895876304,7,1029,0.0,6
2020-01-02 07:00:00+01:00,442,37,405,20.352399635415985,437,56,381,22.67431624563715,7,1029,0.0,6
2020-01-02 08:00:00+01:00,465,36,429,19.650501243200726,459,57,402,21.314720332142485,7,1029,0.0,6
2020-01-02 09:00:00+01:00,296,23,273,20.454116986907042,324,45,279,20.507764200909268,7,1029,0.0,6
2020-01-02 10:00:00+01:00,271,22,249,24.814459053724722,269,33,236,17.49919499982951,7,1029,0.0,6
2020-01-02 11:00:00+01:00,292,22,270,18.509650933155072,301,45,256,16.897732473063776,7,1029,0.0,6
2020-01-02 12:00:00+01:00,239,18,221,13.74553452780325,273,43,230,23.61851837889036,7,1029,0.0,6
2020-01-02 13:00:00+01:00,249,19,230,20.976233072746222,262,36,226,18.255168653975332,7,1029,0.0,6
2020-01-02 14:00:00+01:00,275,24,251,24.67224255888931,264,42,222,20.665980174270672,7,1029,0.0,6
2020-01-02 15:00:00+01:00,266,20,246,24.416240816629376,286,39,247,20.398524223626136,7,1029,0.0,6
2020-01-02 16:00:00+01:00,307,27,280,19.62844127124222,305,47,258,19.342371998402466,7,1029,0.0,6
2020-01-02 17:00:00+01:00,405,31,374,18.172278090342537,429,69,360,21.355504409446556,7,1029,0.0,6
2020-01-02 18:00:00+01:00,493,38,455,23.14736404920122,480,77,403,21.905802263169644,7,1029,0.0,6
2020-01-02 19:00:00+01:00,337,30,307,21.494538760895587,354,46,308,21.22371738501729,7,1029,0.0,6
2020-01-02 20:00:00+01:00,343,27,316,18.604951737824955,350,42,308,21.39774246689966,7,1029,0.0,6
2020-01-02 21:00:00+01:00,247,20,227,18.30797612224211,249,30,219,20.976233072746222,7,1029,0.0,6
2020-01-02 22:00:00+01:00,179,14,165,19.18236787964663,187,28,159,20.5323189366488,7,1029,0.0,6
2020-01-02 23:00:00+01:00,117,9,108,21.891304075969387,134,18,116,14.701306049248211,7,1029,0.0,6
2020-01-03 00:00:00+01:00,46,4,42,9.245167395738047,47,4,43,10.718407092962304,10,1024,0.0,18
2020-01-03 01:00:00+01:00,29,2,27,3.1672610972900266,28,2,26,4.026144260024548,10,1024,0.0,18
2020-01-03 02:00:00+01:00,29,2,27,3.1672610972900266,28,2,26,4.026144260024548,10,1024,0.0,18
2020-01-03 03:00:00+01:00,44,4,40,6.744796902616623,47,4,43,10.718407092962304,10,1024,0.0,18
2020-01-03 04:00:00+01:00,76,7,69,16.686685835236233,74,8,66,19.513800836509724,10,1024,0.0,18
2020-01-03 05:00:00+01:00,142,14,128,21.623487252479663,143,14,129,22.510370466296816,10,1024,0.0,18
2020-01-03 06:00:00+01:00,167,17,150,21.39117903937357,169,16,153,18.567569965901342,10,1024,0.0,18
2020-01-03 07:00:00+01:00,264,28,236,20.665980174270672,258,23,235,21.93153719781745,10,1024,0.0,18
2020-01-03 08:00:00+01:00,273,25,248,23.61851837889036,283,24,259,21.015453076893927,10,1024,0.0,18
2020-01-03 09:00:00+01:00,184,17,167,20.655558446800804,182,15,167,17.128604685093855,10,1024,0.0,18
2020-01-03 10:00:00+01:00,153,13,140,14.915022999208679,154,13,141,23.457384968254527,10,1024,0.0,18
2020-01-03 11:00:00+01:00,182,19,163,17.128604685093855,182,15,167,17.128604685093855,10,1024,0.0,18
2020-01-03 12:00:00+01:00,153,13,140,14.915022999208679,154,13,141,23.457384968254527,10,1024,0.0,18
2020-01-03 13:00:00+01:00,150,16,134,17.939622434692456,158,13,145,21.67102174389251,10,1024,0.0,18
2020-01-03 14:00:00+01:00,153,15,138,14.915022999208679,154,13,141,23.457384968254527,10,1024,0.0,18
2020-01-03 15:00:00+01:00,167,18,149,21.39117903937357,169,16,153,18.567569965901342,10,1024,0.0,18
2020-01-03 16:00:00+01:00,185,20,165,20.160625004949942,179,16,163,19.18236787964663,10,1024,0.0,18
2020-01-03 17:00:00+01:00,266,28,238,24.416240816629376,258,24,234,21.93153719781745,10,1024,0.0,18
2020-01-03 18:00:00+01:00,273,25,248,23.61851837889036,283,24,259,21.015453076893927,10,1024,0.0,18
2020-01-03 19:00:00+01:00,200,18,182,19.256012935412965,193,19,174,21.558071117560736,10,1024,0.0,18
2020-01-03 20:00:00+01:00,201,19,182,22.51450761920508,193,19,174,21.558071117560736,10,1024,0.0,18
2020-01-03 21:00:00+01:00,154,14,140,23.457384968254527,147,16,131,20.208056467665056,10,1024,0.0,18
2020-01-03 22:00:00+01:00,112,11,101,14.898852003445265,104,10,94,11.935148455597123,10,1024,0.0,18
2020-01-03 23:00:00+01:00,78,8,70,16.41986115786707,77,7,70,16.632320143368542,10,1024,0.0,18
2020-01-04 00:00:00+01:00,53,3,50,12.671576687621188,56,2,54,11.681432660358455,7,1032,0.0,13
2020-01-04 01:00:00+01:00,34,2,32,4.1719622498891535,37,2,35,3.5125252112896685,7,1032,0.0,13
2020-01-04 02:00:00+01:00,35,2,33,5.369702870779087,35,2,33,5.369702870779087,7,1032,0.0,13
2020-01-04 03:00:00+01:00,51,3,48,13.024781207847502,56,3,53,11.681432660358455,7,1032,0.0,13
2020-01-04 04:00:00+01:00,69,4,65,11.382640456570568,74,4,70,9.886934519670994,7,1032,0.0,13
2020-01-04 05:00:00+01:00,90,5,85,10.477669283936715,92,5,87,9.485995969760566,7,1032,0.0,13
2020-01-04 06:00:00+01:00,142,8,134,19.57947604189084,152,9,143,18.686880121910534,7,1032,0.0,13
2020-01-04 07:00:00+01:00,208,12,196,18.807092053665322,225,14,211,16.518156382279376,7,1032,0.0,13
2020-01-04 08:00:00+01:00,296,19,277,18.406113827007673,299,15,284,16.471342376610473,7,1032,0.0,13
2020-01-04 09:00:00+01:00,297,19,278,17.48190242862812,316,20,296,17.068110656006358,7,1032,0.0,13
2020-01-04 10:00:00+01:00,273,18,255,23.139691796211615,282,18,264,20.995138580232226,7,1032,0.0,13
2020-01-04 11:00:00+01:00,212,12,200,14.709005856097448,225,14,211,16.518156382279376,7,1032,0.0,13
2020-01-04 12:00:00+01:00,221,14,207,21.310706623471727,223,11,212,18.802339292525456,7,1032,0.0,13
2020-01-04 13:00:00+01:00,233,15,218,15.034753042734176,243,14,229,15.58217691478424,7,1032,0.0,13
2020-01-04 14:00:00+01:00,212,13,199,14.709005856097448,225,14,211,16.518156382279376,7,1032,0.0,13
2020-01-04 15:00:00+01:00,258,17,241,20.847323082118503,264,17,247,17.866837611646663,7,1032,0.0,13
2020-01-04 16:00:00+01:00,251,14,237,17.440368481170164,264,17,247,17.866837611646663,7,1032,0.0,13
2020-01-04 17:00:00+01:00,287,16,271,13.917461050382924,302,17,285,20.352052927472357,7,1032,0.0,13
2020-01-04 18:00:00+01:00,267,16,251,24.84759596655304,283,14,269,18.945435241048195,7,1032,0.0,13
2020-01-04 19:00:00+01:00,212,12,200,14.709005856097448,225,14,211,16.518156382279376,7,1032,0.0,13
2020-01-04 20:00:00+01:00,202,13,189,21.075229783177793,207,10,197,18.76558942906742,7,1032,0.0,13
2020-01-04 21:00:00+01:00,181,11,170,16.606730094694083,187,10,177,15.611538170802525,7,1032,0.0,13
2020-01-04 22:00:00+01:00,145,9,136,19.922746131926434,151,7,144,19.14578123638998,7,1032,0.0,13
2020-01-04 23:00:00+01:00,70,3,67,11.628132043946147,74,4,70,9.886934519670994,7,1032,0.0,13
2020-01-05 00:00:00+01:00,49,2,47,12.126419816698254,65,2,63,10.13470849860639,8,1037,0.0,5
2020-01-05 01:00:00+01:00,32,1,31,4.0395468395825125,42,1,41,10.321824814537676,8,1037,0.0,5
2020-01-05 02:00:00+01:00,32,1,31,4.0395468395825125,42,1,41,10.321824814537676,8,1037,0.0,5
2020-01-05 03:00:00+01:00,49,1,48,12.126419816698254,65,2,63,10.13470849860639,8,1037,0.0,5
2020-01-05 04:00:00+01:00,68,2,66,8.84385076442631,84,3,81,7.6306798135980785,8,1037,0.0,5
2020-01-05 05:00:00+01:00,84,3,81,7.6306798135980785,115,3,112,14.522258078721798,8,1037,0.0,5
2020-01-05 06:00:00+01:00,136,5,131,17.36617287321582,145,6,139,19.922746131926434,8,1037,0.0,5
2020-01-05 07:00:00+01:00,202,7,195,21.075229783177793,244,8,236,18.556057346091794,8,1037,0.0,5
2020-01-05 08:00:00+01:00,267,10,257,24.84759596655304,335,11,324,21.63506552863301,8,1037,0.0,5
2020-01-05 09:00:00+01:00,288,11,277,15.693687299637316,307,10,297,16.74476305242919,8,1037,0.0,5
2020-01-05 10:00:00+01:00,234,9,225,18.523045519331724,293,11,282,17.329297501722674,8,1037,0.0,5
2020-01-05 11:00:00+01:00,192,7,185,17.31696395349906,265,11,254,17.981103781954623,8,1037,0.0,5
2020-01-05 12:00:00+01:00,199,7,192,19.11274068140836,239,8,231,18.056937917326703,8,1037,0.0,5
2020-01-05 13:00:00+01:00,202,8,194,21.075229783177793,265,8,257,17.981103781954623,8,1037,0.0,5
2020-01-05 14:00:00+01:00,199,7,192,19.11274068140836,239,8,231,18.056937917326703,8,1037,0.0,5
2020-01-05 15:00:00+01:00,218,9,209,17.36015147829793,232,9,223,19.09590246733257,8,1037,0.0,5
2020-01-05 16:00:00+01:00,227,9,218,13.349035543905368,284,11,273,16.935782048371557,8,1037,0.0,5
2020-01-05 17:00:00+01:00,258,9,249,20.847323082118503,352,15,337,18.547693732895546,8,1037,0.0,5
2020-01-05 18:00:00+01:00,241,10,231,17.853279648834448,253,8,245,17.73107046839405,8,1037,0.0,5
2020-01-05 19:00:00+01:00,204,8,196,20.27930898180519,267,10,257,24.84759596655304,8,1037,0.0,5
2020-01-05 20:00:00+01:00,183,6,177,15.872019474492381,209,7,202,16.60419034744366,8,1037,0.0,5
2020-01-05 21:00:00+01:00,169,6,163,20.526675282456768,218,8,210,17.36015147829793,8,1037,0.0,5
2020-01-05 22:00:00+01:00,124,5,119,14.467255533674502,138,5,133,15.03091255444847,8,1037,0.0,5
2020-01-05 23:00:00+01:00,68,2,66,8.84385076442631,84,3,81,7.6306798135980785,8,1037,0.0,5
2020-01-06 00:00:00+01:00,76,6,70,16.686685835236233,81,10,71,16.076626545182606,6,1033,0.0,5
2020-01-06 01:00:00+01:00,53,5,48,8.976459755768028,55,5,50,8.909875597117273,6,1033,0.0,5
2020-01-06 02:00:00+01:00,55,5,50,8.909875597117273,55,5,50,8.909875597117273,6,1033,0.0,5
2020-01-06 03:00:00+01:00,83,8,75,18.699193296190067,81,9,72,16.076626545182606,6,1033,0.0,5
2020-01-06 04:00:00+01:00,134,13,121,14.701306049248211,136,17,119,16.594078125250377,6,1033,0.0,5
2020-01-06 05:00:00+01:00,247,25,222,18.30797612224211,239,22,217,13.74553452780325,6,1033,0.0,5
2020-01-06 06:00:00+01:00,309,33,276,17.68578168988432,300,31,269,19.621479548992166,6,1033,0.0,5
2020-01-06 07:00:00+01:00,443,44,399,13.62175880122913,458,51,407,24.591159780297854,6,1033,0.0,5
2020-01-06 08:00:00+01:00,510,54,456,19.94640789038923,510,49,461,19.94640789038923,6,1033,0.0,5
2020-01-06 09:00:00+01:00,311,31,280,16.325599187415413,328,34,294,17.860857228116767,6,1033,0.0,5
2020-01-06 10:00:00+01:00,266,24,242,24.416240816629376,271,28,243,24.814459053724722,6,1033,0.0,5
2020-01-06 11:00:00+01:00,332,30,302,21.454526645627976,337,34,303,21.494538760895587,6,1033,0.0,5
2020-01-06 12:00:00+01:00,281,26,255,17.665733770068634,275,34,241,24.67224255888931,6,1033,0.0,5
2020-01-06 13:00:00+01:00,275,30,245,24.67224255888931,275,34,241,24.67224255888931,6,1033,0.0,5
2020-01-06 14:00:00+01:00,275,30,245,24.67224255888931,275,34,241,24.67224255888931,6,1033,0.0,5
2020-01-06 15:00:00+01:00,303,33,270,15.98015338859148,296,29,267,20.454116986907042,6,1033,0.0,5
2020-01-06 16:00:00+01:00,335,33,302,21.419812345615075,320,37,283,21.04137400974582,6,1033,0.0,5
2020-01-06 17:00:00+01:00,480,51,429,21.905802263169644,478,59,419,19.93054974447541,6,1033,0.0,5
2020-01-06 18:00:00+01:00,493,48,445,23.14736404920122,495,62,433,22.447345833209692,6,1033,0.0,5
2020-01-06 19:00:00+01:00,352,36,316,20.33829699034963,352,38,314,20.33829699034963,6,1033,0.0,5
2020-01-06 20:00:00+01:00,347,34,313,19.399384547744187,356,40,316,20.092398613710877,6,1033,0.0,5
2020-01-06 21:00:00+01:00,266,25,241,24.416240816629376,271,28,243,24.814459053724722,6,1033,0.0,5
2020-01-06 22:00:00+01:00,194,17,177,21.593451125557873,194,23,171,21.593451125557873,6,1033,0.0,5
2020-01-06 23:00:00+01:00,138,12,126,20.21600799483387,132,15,117,19.37004764296085,6,1033,0.0,5
2020-01-07 00:00:00+01:00,53,5,48,8.976459755768028,63,6,57,14.929801273937542,8,1026,0.0,13
2020-01-07 01:00:00+01:00,33,2,31,5.985660510090718,39,3,36,6.782457974710225,8,1026,0.0,13
2020-01-07 02:00:00+01:00,33,2,31,5.985660510090718,39,3,36,6.782457974710225,8,1026,0.0,13
2020-01-07 03:00:00+01:00,50,4,46,13.688855833793909,61,5,56,12.362973378192347,8,1026,0.0,13
2020-01-07 04:00:00+01:00,86,7,79,21.204994436842384,99,8,91,10.779955578794215,8,1026,0.0,13
2020-01-07 05:00:00+01:00,163,15,148,20.41127666656249,172,15,157,19.644113972447897,8,1026,0.0,13
2020-01-07 06:00:00+01:00,201,19,182,22.51450761920508,215,22,193,23.830284677030114,8,1026,0.0,13
2020-01-07 07:00:00+01:00,318,31,287,21.634505447676812,333,33,300,26.7685298712925,8,1026,0.0,13
2020-01-07 08:00:00+01:00,326,31,295,15.279514269305528,356,32,324,20.092398613710877,8,1026,0.0,13
2020-01-07 09:00:00+01:00,216,18,198,21.273439412003903,247,27,220,18.30797612224211,8,1026,0.0,13
2020-01-07 10:00:00+01:00,173,14,159,20.37647841384157,204,23,181,12.517560993101368,8,1026,0.0,13
2020-01-07 11:00:00+01:00,212,20,192,18.597605283865732,252,25,227,18.51064847889223,8,1026,0.0,13
2020-01-07 12:00:00+01:00,181,17,164,20.051163259817507,199,17,182,21.764655927821806,8,1026,0.0,13
2020-01-07 13:00:00+01:00,187,15,172,20.5323189366488,193,17,176,21.558071117560736,8,1026,0.0,13
2020-01-07 14:00:00+01:00,184,16,168,20.655558446800804,199,17,182,21.764655927821806,8,1026,0.0,13
2020-01-07 15:00:00+01:00,207,17,190,21.877297854955202,215,20,195,23.830284677030114,8,1026,0.0,13
2020-01-07 16:00:00+01:00,224,21,203,16.30248157536985,241,20,221,21.076687701702674,8,1026,0.0,13
2020-01-07 17:00:00+01:00,309,28,281,17.68578168988432,344,32,312,17.416933285982235,8,1026,0.0,13
2020-01-07 18:00:00+01:00,335,33,302,21.419812345615075,349,36,313,16.300891984453436,8,1026,0.0,13
2020-01-07 19:00:00+01:00,241,20,221,21.076687701702674,261,26,235,21.270868579361668,8,1026,0.0,13
2020-01-07 20:00:00+01:00,233,22,211,20.426009043155588,267,23,244,13.385499595100717,8,1026,0.0,13
2020-01-07 21:00:00+01:00,193,17,176,21.558071117560736,203,19,184,24.82410288636225,8,1026,0.0,13
2020-01-07 22:00:00+01:00,123,11,112,19.074654696202938,141,14,127,21.00935462418931,8,1026,0.0,13
2020-01-07 23:00:00+01:00,95,8,87,11.735389228725284,99,9,90,10.779955578794215,8,1026,0.0,13
2020-01-08 00:00:00+01:00,72,9,63,11.114251740675064,74,8,66,17.73542510561878,11,1026,0.0,12
2020-01-08 01:00:00+01:00,48,6,42,9.13890902221218,46,5,41,7.79278142701588,11,1026,0.0,12
2020-01-08 02:00:00+01:00,48,6,42,9.13890902221218,46,5,41,7.79278142701588,11,1026,0.0,12
2020-01-08 03:00:00+01:00,74,9,65,17.73542510561878,74,8,66,17.73542510561878,11,1026,0.0,12
2020-01-08 04:00:00+01:00,125,15,110,14.698947587184879,119,13,106,15.009648975035175,11,1026,0.0,12
2020-01-08 05:00:00+01:00,224,27,197,23.328062540910114,214,26,188,24.48806340301503,11,1026,0.0,12
2020-01-08 06:00:00+01:00,271,31,240,21.366756148139427,271,29,242,21.366756148139427,11,1026,0.0,12
2020-01-08 07:00:00+01:00,425,52,373,19.3794475610605,400,50,350,24.218092797619367,11,1026,0.0,12
2020-01-08 08:00:00+01:00,445,54,391,16.661198829462172,414,41,373,19.17568950621098,11,1026,0.0,12
2020-01-08 09:00:00+01:00,293,40,253,20.77933514509894,289,33,256,21.030269491813637,11,1026,0.0,12
2020-01-08 10:00:00+01:00,246,28,218,23.31403953539513,230,25,205,17.60723498396665,11,1026,0.0,12
2020-01-08 11:00:00+01:00,295,33,262,15.580078135965431,293,28,265,20.77933514509894,11,1026,0.0,12
2020-01-08 12:00:00+01:00,248,31,217,22.98129959572143,230,25,205,17.60723498396665,11,1026,0.0,12
2020-01-08 13:00:00+01:00,246,27,219,23.31403953539513,230,25,205,17.60723498396665,11,1026,0.0,12
2020-01-08 14:00:00+01:00,246,27,219,23.31403953539513,230,25,205,17.60723498396665,11,1026,0.0,12
2020-01-08 15:00:00+01:00,271,30,241,21.366756148139427,271,29,242,21.366756148139427,11,1026,0.0,12
2020-01-08 16:00:00+01:00,300,37,263,17.719869170359154,287,31,256,21.022527027479835,11,1026,0.0,12
2020-01-08 17:00:00+01:00,420,49,371,17.615164094757546,420,49,371,17.615164094757546,11,1026,0.0,12
2020-01-08 18:00:00+01:00,451,58,393,15.27543247912955,406,45,361,23.347397986470767,11,1026,0.0,12
2020-01-08 19:00:00+01:00,320,41,279,20.77950754083946,295,29,266,15.580078135965431,11,1026,0.0,12
2020-01-08 20:00:00+01:00,324,37,287,25.318103431421573,293,32,261,20.77933514509894,11,1026,0.0,12
2020-01-08 21:00:00+01:00,248,31,217,22.98129959572143,230,25,205,17.60723498396665,11,1026,0.0,12
2020-01-08 22:00:00+01:00,171,19,152,19.53129553547978,154,15,139,25.102227050596255,11,1026,0.0,12
2020-01-08 23:00:00+01:00,125,16,109,14.698947587184879,119,13,106,15.009648975035175,11,1026,0.0,12
2020-01-09 00:00:00+01:00,63,5,58,14.929801273937542,61,8,53,12.362973378192347,12,1024,0.1,14
2020-01-09 01:00:00+01:00,36,2,34,3.0873599992209124,43,5,38,8.573704494863009,12,1024,0.1,14
2020-01-09 02:00:00+01:00,40,3,37,5.275608835029151,43,5,38,8.573704494863009,12,1024,0.1,14
2020-01-09 03:00:00+01:00,61,5,56,12.362973378192347,61,8,53,12.362973378192347,12,1024,0.1,14
2020-01-09 04:00:00+01:00,94,7,87,13.172779715339633,103,16,87,12.113442962320551,12,1024,0.1,14
2020-01-09 05:00:00+01:00,184,16,168,20.655558446800804,191,23,168,20.658016380524305,12,1024,0.1,14
2020-01-09 06:00:00+01:00,233,19,214,20.426009043155588,242,31,211,20.990360069331732,12,1024,0.1,14
2020-01-09 07:00:00+01:00,340,28,312,18.92958933704513,376,45,331,15.920759199358614,12,1024,0.1,14
2020-01-09 08:00:00+01:00,367,28,339,20.047055443111752,370,59,311,20.548579550699223,12,1024,0.1,14
2020-01-09 09:00:00+01:00,267,20,247,13.385499595100717,261,34,227,21.270868579361668,12,1024,0.1,14
2020-01-09 10:00:00+01:00,196,17,179,20.04912381427717,223,28,195,21.320656431140716,12,1024,0.1,14
2020-01-09 11:00:00+01:00,231,18,213,16.702836426900134,263,33,230,18.706444640225143,12,1024,0.1,14
2020-01-09 12:00:00+01:00,209,18,191,22.16757043059366,216,27,189,21.273439412003903,12,1024,0.1,14
2020-01-09 13:00:00+01:00,207,18,189,21.877297854955202,209,28,181,22.16757043059366,12,1024,0.1,14
2020-01-09 14:00:00+01:00,202,15,187,22.500350864850866,205,28,177,13.47116079711613,12,1024,0.1,14
2020-01-09 15:00:00+01:00,223,17,206,21.320656431140716,228,31,197,15.818609956751573,12,1024,0.1,14
2020-01-09 16:00:00+01:00,230,17,213,17.120376816836934,263,33,230,18.706444640225143,12,1024,0.1,14
2020-01-09 17:00:00+01:00,356,31,325,20.092398613710877,362,48,314,18.208767664177746,12,1024,0.1,14
2020-01-09 18:00:00+01:00,402,35,367,17.230856788696144,386,59,327,18.304254687443294,12,1024,0.1,14
2020-01-09 19:00:00+01:00,274,22,252,20.56786912693606,284,46,238,21.60666647068217,12,1024,0.1,14
2020-01-09 20:00:00+01:00,261,19,242,21.270868579361668,275,42,233,24.67224255888931,12,1024,0.1,14
2020-01-09 21:00:00+01:00,203,18,185,24.82410288636225,209,30,179,22.16757043059366,12,1024,0.1,14
2020-01-09 22:00:00+01:00,140,10,130,15.331768592489755,144,21,123,22.91915418498221,12,1024,0.1,14
2020-01-09 23:00:00+01:00,96,8,88,11.83328593996439,103,16,87,12.113442962320551,12,1024,0.1,14
2020-01-10 00:00:00+01:00,37,3,34,2.066086063070793,38,4,34,11.101073107969722,9,1010,0.3,32
2020-01-10 01:00:00+01:00,25,2,23,1.1875344360364632,25,2,23,1.1875344360364632,9,1010,0.3,32
2020-01-10 02:00:00+01:00,25,2,23,1.1875344360364632,25,2,23,1.1875344360364632,9,1010,0.3,32
2020-01-10 03:00:00+01:00,37,3,34,2.066086063070793,38,4,34,11.101073107969722,9,1010,0.3,32
2020-01-10 04:00:00+01:00,63,6,57,14.929801273937542,58,5,53,10.505136369992313,9,1010,0.3,32
2020-01-10 05:00:00+01:00,113,12,101,20.093188266697116,113,11,102,20.093188266697116,9,1010,0.3,32
2020-01-10 06:00:00+01:00,140,13,127,15.331768592489755,129,13,116,17.995114557081255,9,1010,0.3,32
2020-01-10 07:00:00+01:00,210,19,191,16.3212742992447,212,18,194,18.597605283865732,9,1010,0.3,32
2020-01-10 08:00:00+01:00,228,23,205,15.818609956751573,211,19,192,18.759232281731908,9,1010,0.3,32
2020-01-10 09:00:00+01:00,147,14,133,20.208056467665056,153,13,140,14.915022999208679,9,1010,0.3,32
2020-01-10 10:00:00+01:00,124,11,113,17.53992981591413,117,12,105,21.891304075969387,9,1010,0.3,32
2020-01-10 11:00:00+01:00,153,15,138,14.915022999208679,148,13,135,18.058884943386857,9,1010,0.3,32
2020-01-10 12:00:00+01:00,129,13,116,17.995114557081255,123,10,113,19.074654696202938,9,1010,0.3,32
2020-01-10 13:00:00+01:00,124,12,112,17.53992981591413,117,12,105,21.891304075969387,9,1010,0.3,32
2020-01-10 14:00:00+01:00,128,12,116,19.601953989978306,123,10,113,19.074654696202938,9,1010,0.3,32
2020-01-10 15:00:00+01:00,136,14,122,16.594078125250377,138,14,124,20.21600799483387,9,1010,0.3,32
2020-01-10 16:00:00+01:00,145,14,131,18.85528596371164,154,15,139,23.457384968254527,9,1010,0.3,32
2020-01-10 17:00:00+01:00,207,22,185,21.877297854955202,202,19,183,22.500350864850866,9,1010,0.3,32
2020-01-10 18:00:00+01:00,218,21,197,22.57742359713229,227,25,202,19.269071808142694,9,1010,0.3,32
2020-01-10 19:00:00+01:00,158,15,143,21.67102174389251,159,15,144,17.78748005044877,9,1010,0.3,32
2020-01-10 20:00:00+01:00,160,14,146,19.89239402952506,159,13,146,17.78748005044877,9,1010,0.3,32
2020-01-10 21:00:00+01:00,123,11,112,19.074654696202938,123,12,111,19.074654696202938,9,1010,0.3,32
2020-01-10 22:00:00+01:00,86,8,78,21.204994436842384,85,7,78,19.289671453475872,9,1010,0.3,32
2020-01-10 23:00:00+01:00,61,6,55,12.362973378192347,58,5,53,10.505136369992313,9,1010,0.3,32
2020-01-11 00:00:00+01:00,82,5,77,8.6962433625344,87,4,83,9.504121716770046,6,1032,0.0,4
2020-01-11 01:00:00+01:00,55,3,52,10.027044718132117,55,3,52,10.027044718132117,6,1032,0.0,4
2020-01-11 02:00:00+01:00,53,3,50,12.671576687621188,58,2,56,11.561797090249616,6,1032,0.0,4
2020-01-11 03:00:00+01:00,80,4,76,12.9514806028411,87,5,82,9.504121716770046,6,1032,0.0,4
2020-01-11 04:00:00+01:00,113,6,107,20.97275705288615,116,6,110,11.000262455867666,6,1032,0.0,4
